Región,Canton,Mujeres,Hombres,Total General,De 0 a 14 años,De 15 a 24 años,De 25 a 34 años,De 35 a 44 años,De 45 a 59 años,De 60 años o más,Mujeres De 0 a 14 años,Mujeres De 15 a 24 años,Mujeres De 25 a 34 años,Mujeres De 35 a 44 años,Mujeres De 45 a 59 años,Mujeres De 60 años o más,Hombres De 0 a 14 años,Hombres De 15 a 24 años,Hombres De 25 a 34 años,Hombres De 35 a 44 años,Hombres De 45 a 59 años,Hombres De 60 años o más
Región Central,Alvarado,7760,7944,15704,3360,2350,2788,2273,2727,2206,1660,1161,1378,1123,1348,1090,1700,1189,1410,1150,1379,1116
Región Central,Oreamuno,25583,25291,50874,10628,7379,8895,7964,9020,6988,5345,3711,4473,4005,4536,3514,5283,3668,4422,3959,4484,3474
Región Central,El Guarco,23354,23907,47261,10046,7065,8448,7403,8265,6034,4964,3491,4175,3658,4084,2982,5082,3574,4273,3745,4181,3052
Región Central,Heredia,74705,72648,147353,27334,19948,22755,25425,27706,24185,13858,10113,11536,12890,14046,12261,13476,9835,11219,12535,13660,11924
Región Central,Barva,24312,24447,48759,9996,6901,7862,8012,8447,7541,4984,3441,3920,3995,4212,3760,5012,3460,3942,4017,4235,3781
Región Central,Santo Domingo,25055,25155,50210,9200,6505,7731,8190,9245,9339,4591,3246,3858,4087,4613,4660,4609,3259,3873,4103,4632,4679
Región Central,Santa Bárbara,22148,22266,44414,9241,6517,7354,7073,7670,6559,4608,3250,3667,3527,3825,3271,4633,3267,3687,3546,3845,3288
Región Central,San Rafael,28364,28799,57163,11676,8061,9261,9301,10068,8796,5794,4000,4595,4615,4996,4365,5882,4061,4666,4686,5072,4431
Región Central,San Isidro,11845,12013,23858,4712,3190,3860,3863,4363,3870,2339,1584,1916,1918,2166,1921,2373,1606,1944,1945,2197,1949
Región Central,Belén,13524,13508,27032,4906,3546,4598,4500,4937,4545,2454,1774,2300,2251,2470,2274,2452,1772,2298,2249,2467,2271
Región Central,Flores,12812,12843,25655,5445,3626,3833,4082,4730,3939,2719,1811,1914,2039,2362,1967,2726,1815,1919,2043,2368,1972
Región Central,San Pablo,16026,15633,31659,5942,4030,5056,5620,6031,4980,3008,2040,2559,2845,3053,2521,2934,1990,2497,2775,2978,2459
Región Huetar Norte,Sarapiquí,43382,46654,90036,24368,17436,14098,13157,12749,8228,11741,8401,6793,6339,6143,3964,12627,9035,7305,6818,6606,4264
Región Chorotega,Liberia,39940,40934,80874,18299,11662,13777,14459,12906,9771,9037,5759,6804,7141,6374,4825,9262,5903,6973,7318,6532,4946
Región Chorotega,Nicoya,28537,29580,58117,11481,7516,8755,9528,10316,10521,5637,3691,4299,4679,5065,5166,5844,3825,4456,4849,5251,5355
Región Chorotega,Santa Cruz,35182,37230,72412,17900,9325,10443,11448,12471,10825,8697,4531,5074,5562,6059,5259,9203,4794,5369,5886,6412,5566
Región Chorotega,Bagaces,12392,12811,25203,6102,4012,4132,3777,3946,3234,3000,1973,2032,1857,1940,1590,3102,2039,2100,1920,2006,1644
Región Chorotega,Carrillo,23689,24952,48641,12044,6772,7869,7853,7796,6307,5866,3298,3832,3825,3797,3072,6178,3474,4037,4028,3999,3235
Región Chorotega,Cañas,17010,16729,33739,8064,5474,5450,4990,5168,4593,4066,2760,2748,2516,2606,2316,3998,2714,2702,2474,2562,2277
